AFF_LOVE_POINT	Body za lásku: %d%%
GUILDMARK_UPLOADER_ERROR_SELECT	Nebyl zvolen ádnı obrazovı soubor.
GUILDWAR_CTF_TITLE	Zmocnit se praporu
GUILDWAR_NORMAL_TITLE	Polní bitva
GUILDWAR_QUESTION_LINE_1	Cech %s vyhlásil tvému cechu válku.
GUILDWAR_QUESTION_LINE_2	Pøijímáš? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Dìjištì války cechù
GUILD_BUILDING_GRADE	Hodnost
GUILD_BUILDING_NAME	Název budovy
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energie draèího ducha je plnì obnovena.
GUILD_COMMENT	Psát
GUILD_CREATE_ERROR_INSULT_NAME	Název cechu je nepøípustnı.
GUILD_DEFAULT_GRADE	Èlenové cechu
GUILD_DELETE	Smazat
GUILD_DEPOSIT	Deponovat
GUILD_DO_YOU_HEAL_GSP	Chceš pouít %d Yangù na obnovu %d jednotek Draèího ducha?
GUILD_DO_YOU_JOIN	 tì pozval. Pøeješ si vstoupit do cechu?
GUILD_EMPTY_AREA	Planá zemì
GUILD_ENEMY_GUILD_NAME	Název nepøátelského cechu
GUILD_FACILITY	Vedlejší budova
GUILD_GEM	Drahokam
GUILD_HEADQUARTER	Hlavní budova
GUILD_HEAL_GSP	Obnovit draèího ducha
GUILD_INFO_ENEMY_GUILD_EMPTY	ádná
GUILD_MARK_NOT_ENOUGH_LEVEL	Je zapotøebí minimálnì úrovnì 3.
GUILD_NAME	Název cechu
GUILD_NOT_ENOUGH_MATERIAL	Nemáš dostatek stavebního materiálu pro tuto budovu.
GUILD_NOT_ENOUGH_MONEY	Nemáš dostatek Yangù pro tuto budovu.
GUILD_NO_NOTICE_PERMISSION	Nejsi oprávnìn, zveøejòovat oznámení.
GUILD_OBJECT	Objekty
GUILD_OFFER_EXP	Zkušenost k investování
GUILD_SHORT_EXP	Nedostatek zkušeností.
GUILD_TILE_BASEINFO	Základní informace
GUILD_TILE_BOARD	Tabule
GUILD_TILE_GRADE	Administrace práv
GUILD_TILE_INFO	Informace o cechu
GUILD_TILE_MEMBER	Èlenové cechu
GUILD_TILE_SKILL	Schopnosti  cechu
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Oblast cechovních válek
GUILD_WAR2	Oblast cechovních válek
GUILD_WAR3	Oblast cechovních válek
GUILD_WAR4	Oblast cechovních válek
GUILD_WAR_LIMIT_30MIN	Èas: 30 minut
GUILD_WAR_REWARD_POTION	Odmìna: Vítìz obdrí elixíry
GUILD_WAR_USE_BATTLE_MAP	Lokalita: dìjištì cechovní války
GUILD_WAR_USE_NORMAL_MAP	Lokalita: normální mapa
GUILD_WAR_WIN_CHECK_SCORE	Nejvyšší vısledek vyhraje válku.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zmocni se praporu protivníka
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	a doprav jej na vlastní základnu.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Pøemo všechny soupeøi, abys vyhrál.
GUILD_WITHDRAW	Ústup
GUILD_YOU_DO_NOT_JOIN	Nepatøíš k ádnému cechu.
HORSE_HEALTH0	Mrtvı
HORSE_HEALTH1	Hladovìjící
HORSE_HEALTH2	Hladovı
HORSE_HEALTH3	Plnı
HORSE_LEVEL1	Normální kùò
HORSE_LEVEL2	Opancéøovanı kùò
HORSE_LEVEL3	Vojenskı kùò
HOUR	hod.
HOW_MANY_ITEM_DO_YOU_DROP1	Chceš nechat padnout %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Chceš nechat padnout %s %d?
INPUT_MATRIX_CARD_NUMBER	Zadat èíslo Matrix-karty
INPUT_MATRIX_CARD_TITLE	Matrix-karta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Zadat vymazávající kód ze správy kont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Smazat postavu
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamen se nedá dát dohromady.
INVENTORY_REALLY_USE_ITEM	Pouit pøedmìt na tento pøedmìt?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amatérskı ninja
JOB_ASSASSIN1	Moc ninji
JOB_ASSASSIN2	Nezemøelı
JOB_SHAMAN	Šaman
JOB_SHAMAN0	Amatérskı šaman
JOB_SHAMAN1	Moc draka
JOB_SHAMAN2	Síla blesku
JOB_SURA	Sura
JOB_SURA0	Amatérskı Sura
JOB_SURA1	Moc faty morgány
JOB_SURA2	Moc èerné magie
JOB_WARRIOR	Váleèník
JOB_WARRIOR0	Amatérskı váleèník
JOB_WARRIOR1	Moc Arahanu
JOB_WARRIOR2	Moc halapartny
LEFT_TIME	Zbıvající èas
LOGIN_CONNECT_FAILURE	Chyba pøi spojení se serverem.
LOGIN_CONNECT_SUCCESS	Byl jsi pøipojen na server.
LOGIN_CONNETING	Budeš pøipojen na server...
LOGIN_FAILURE_ALREAY	Tvé konto je u pøipojeno.
LOGIN_FAILURE_BE_SAME_KEY	Problém s pøihlášením
LOGIN_FAILURE_BLOCK_ID	Konto je zablokováno.
LOGIN_FAILURE_BLOCK_LOGIN	Prosím, zvolte si nìkterı z jinıch serverù!
LOGIN_FAILURE_NOBILL	Konto nemá k dispozici ádnou hrací dobu.
LOGIN_FAILURE_NOT_AVAIL	Konto není k dispozici.
LOGIN_FAILURE_NOT_EXIST_ID	Konto neexistuje nebo je chybné heslo.
LOGIN_FAILURE_REPAIR_ID	Právì se znovu zøizují pøedmìty pro toto konto.
LOGIN_FAILURE_SAMELOGIN	Nìkdo se pøipojil na tvùj úèet.
LOGIN_FAILURE_SHUTDOWN	Server zatím není pøístupnı.
LOGIN_FAILURE_TOO_MANY_USER	Nemohl jsi navázat spojení, protoe právì hraje pøíliš mnoho hráèù.
LOGIN_FAILURE_UNKNOWN	Z neznámıch dùvodù jsi se nemohl pøihlásit.
LOGIN_FAILURE_WEB_BLOCK	Byl jsi na webové stránce zablokován. Prosím zkontroluj si e-maily.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Zadal jsi špatné èíslo.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Zadal jsi tøikrát špatné èíslo. Tvoje pøipojení bude pøerušeno.
LOGIN_FAILURE_WRONG_PASSWORD	Chybné jméno nebo heslo.
LOGIN_INPUT_ID	Zadej ID.
LOGIN_INPUT_PASSWORD	Zadej heslo.
LOGIN_PROCESSING	Pøihlášení probíhá...
MALL_CANNOT_INSERT	Tento pøedmìt nemùeš umístit.
MALL_PASSWORD_TITLE	Heslo
MAP_A1	Oblast Yongan
MAP_A2	Údolí Seungryong
MAP_A2_1	
MAP_A3	Oblast Yayang
MAP_AG	Jungrang
MAP_B1	Oblast Joan
MAP_B2	Údolí Imjù
MAP_B3	Oblast Bokjung
MAP_BAY	Nefritovı záliv
MAP_BAYBLACKSAND	Nefritovı záliv
MAP_BG	Waryong
MAP_C1	Oblast Pyungmoo
MAP_C2	Údolí Bangsanù
MAP_C3	Oblast Bakra
MAP_CAPE	Záliv draèího ohnì
MAP_CAPEDRAGONHEAD	Záliv draèího ohnì
MAP_CG	Imha
MAP_DAWN	Útes Gautama
MAP_DAWNMISTWOOD	Útes Gautama
MAP_DESERT	Pouš Yongbi
MAP_DEVILCATACOMB	Ïáblova katakomba
MAP_DEVILTOWER1	Vì démonù
MAP_DUEL	Oblast tréninkovıch bojù
MAP_E	Kolonie
MAP_EMPIREWAR01	Bitva na hradì
MAP_EMPIREWAR02	Bitva na hradì
MAP_EMPIREWAR03	Bitva na hradì
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Bitva království - Pouštní zemì
MAP_HOLYPLACE_FLAME	Bitva království - Ohnivá zemì
MAP_HOLYPLACE_ICE	Bitva království - Ledová zemì
MAP_MILGYO	Chrám Hwang
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Bouøné hory
MAP_NUSLUCK	Zemì obrù
MAP_NUSLUCK01	Zemì obrù
MAP_N_DESERT_01	Pouš Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ohnivá zemì
MAP_N_FLAME_02	
MAP_N_FLAME_DUNGEON_01	Pevnost Èerveného draka
MAP_N_SNOWM_01	Hora Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemerova strání vì
MAP_N_THREEWAY	Údolí Seungryong
MAP_OXEVENT	Soute OX
MAP_PATHWAY_DESERT_01	Bitva království - Pouštní zemì
MAP_PATHWAY_DESERT_02	Bitva království - Pouštní zemì
MAP_PATHWAY_DESERT_03	Bitva království - Pouštní zemì
MAP_PATHWAY_FLAME_01	Bitva království - Ohnivá zemì
MAP_PATHWAY_FLAME_02	Bitva království - Ohnivá zemì
MAP_PATHWAY_FLAME_03	Bitva království - Ohnivá zemì
MAP_PATHWAY_ICE_01	Bitva království - Ledová zemì
MAP_PATHWAY_ICE_02	Zemì her
MAP_PATHWAY_ICE_03	Bitva království - Ledová zemì
MAP_SKELTOWER	Vì Gumsan
MAP_SKIPIA_DUNGEON_01	Jeskynì vyhnanství
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Jeskynì vyhnanství 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Draèí chrám
MAP_SKIPIA_DUNGEON_BOSS_1	Pavouèí bludištì 1
MAP_SKIPIA_DUNGEON_BOSS_2	Pavouèí bludištì 2
MAP_SKIPIA_DUNGEON_BOSS_3	Pavouèí bludištì 3
MAP_SNOW	Hora Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Pavouèí bludištì 1
MAP_SPIDERDUNGEON_02	Pavouèí bludištì 2
MAP_SPIDERDUNGEON_02_1	Pavouèí bludištì 2
MAP_SPIDERDUNGEON_03	Pavouèí bludištì 3
MAP_SUNGZI	Bitva království
MAP_SUNGZI_DESERT_01	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_01	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_02	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_03	Bitva království - Pouštní zemì
MAP_SUNGZI_FLAME_HILL_01	Bitva království - Ohnivá zemì
MAP_SUNGZI_FLAME_HILL_02	Bitva království - Ohnivá zemì
MAP_SUNGZI_FLAME_HILL_03	Bitva království - Ohnivá zemì
MAP_SUNGZI_SNOW	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS01	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS02	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS03	Bitva království - Ledová zemì
MAP_T1	Oblast cechovních válek
MAP_T2	Oblast cechovních válek
MAP_T3	Oblast cechovních válek
MAP_T4	Oblast cechovních válek
MAP_TEMPLE	Chrám Hwang
MAP_THUNDER	Bouøné hory
MAP_TREE	Lungsam
MAP_TRENT	Les duchù
MAP_TRENT02	Èervenı les
MAP_TRENT02_A	Èervenı les
MAP_TRENT_A	
MAP_WEDDING_01	Svatební oblast
MAP_WL	Hadí pole
MAP_WL_01	Hadí pole
MESSENGER_ADD_FRIEND	Pøidat pøítele
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s tì pøijímal za pøítele.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Akceptovat?
MESSENGER_DO_YOU_DELETE	Smazat?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Chceš smazat èíslo na mobil?
MESSENGER_DO_YOU_MOVE	Chceš pokraèovat?
MESSENGER_EMPTY_LIST	Prázdnı
MESSENGER_FAMILY	Rodina
MESSENGER_FRIEND	Pøátelé
MESSENGER_GUILD	Cech
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Zadej èíslo potvrzení, které bylo odesláno na tvùj mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Zadat èíslo potvrzení
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Zadej èíslo na mobil na zasílaní SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Chceš teï zadat èíslo?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Zadat èíslo na mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Poslat zprávu
METIN_TEST	
MINIMAP	Otevøít minimapu
MINIMAP_CANNOT_SEE	Minimapu nelze zobrazit.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Vekou mapu nelze zobrazit.
MINIMAP_DEC_SCALE	Oddálit
MINIMAP_INC_SCALE	Pøiblíit
MINIMAP_OBSERVER_COUNT	%d divák
MINIMAP_SHOW_AREAMAP	Velká mapa
MINUTE	min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	deset tisíc
MONETARY_UNIT2	sto miliónù
MONEY_INPUT_DIALOG_SELLPRICE	Prodejní cena:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nemùeš pøesunout tento pøedmìt, kdy jsi otevøel soukromı stánek.
MUSIC_EMPTY_MUSIC_LIST	Bez hudby v pozadí	
MUSIC_METIN2_DEFAULT_THEMA	Standardní hudba Metin2
MUSIC_NOT_SELECT_MUSIC	Nebyl zvolen hudební soubor.
NEEFD_REST	Musíš si nejdøív odpoèinout.
NOT_YET_SUPPORT	Není podporováno.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Pokud nenáleíš k ádnému cechu, nemùeš zaktivovat cechovní modus.
OPTION_PVPMODE_NOT_SUPPORT	Konfiguraci PvP-módu nemùeš pouít.
OPTION_PVPMODE_PROTECT	Abys mohl pøejít do PvP-módu, musíš dosáhnout minimálnì úrovnì %d.
PARTY_ANSWER_TIMEOVER	Pozvání bylo odmítnuto.
PARTY_BONUS_ATTACKER	Hodnota útoku: +%d	SA
PARTY_BONUS_BERSERKER	Rychlost útoku: +%d	SA
PARTY_BONUS_BUFFER	Trvání schopností: +%d	SA
PARTY_BONUS_DEFENDER	Obrana: +%d	SA
PARTY_BONUS_EXP	Bonus BZK: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MB: +%d	SA
PARTY_BONUS_TANKER	Max. ZB: +%d	SA
PARTY_BREAK_UP	Zrušit skupinu
PARTY_DO_YOU_ACCEPT	 by se rád pøidal do skupiny.
PARTY_DO_YOU_JOIN	 tì pozval do jeho skupiny. Pøijmout?
PARTY_EXP_DISTRIBUTION_MODE	Rozloení BZK
